date,tag,asset,downloads
"2026-08-08","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-09","v0.2.5","TrueforceForAll-Setup.exe",85
"2026-08-09","v0.2.4","TrueforceForAll-Setup.exe",132
"2026-08-09","v0.2.3","TrueforceForAll-Setup.exe",53
"2026-08-09","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-09","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",4
"2026-08-09","v0.1.27","TrueforceForAll-Setup.exe",384
"2026-08-09","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-09","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",27
"2026-08-09","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",279
"2026-08-09","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-09","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-09","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-09","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-09","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-09","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-09","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",289
"2026-08-09","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-09","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-09","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-09","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-09","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-09","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-09","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-09","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-09","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-09","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-09","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-09","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-09","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-09","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-09","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-09","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-09","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-10","v0.2.5","TrueforceForAll-Setup.exe",98
"2026-08-10","v0.2.4","TrueforceForAll-Setup.exe",132
"2026-08-10","v0.2.3","TrueforceForAll-Setup.exe",53
"2026-08-10","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-10","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",4
"2026-08-10","v0.1.27","TrueforceForAll-Setup.exe",388
"2026-08-10","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-10","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",27
"2026-08-10","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-10","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-10","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-10","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-10","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-10","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-10","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-10","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-10","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-10","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-10","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-10","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-10","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-10","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-10","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-10","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-10","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-10","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-10","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-10","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-10","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-10","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-10","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-10","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-10","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-11","v0.2.6","TrueforceForAll-Setup.exe",30
"2026-08-11","v0.1.28","TrueforceForAll-Setup.exe",16
"2026-08-11","v0.2.5","TrueforceForAll-Setup.exe",100
"2026-08-11","v0.2.4","TrueforceForAll-Setup.exe",133
"2026-08-11","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-11","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-11","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",4
"2026-08-11","v0.1.27","TrueforceForAll-Setup.exe",393
"2026-08-11","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-11","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",27
"2026-08-11","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-11","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-11","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-11","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-11","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-11","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-11","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-11","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-11","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-11","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-11","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-11","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-11","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-11","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-11","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-11","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-11","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-11","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-11","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-11","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-11","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-11","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-11","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-11","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-11","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-12","v0.2.6","TrueforceForAll-Setup.exe",43
"2026-08-12","v0.1.28","TrueforceForAll-Setup.exe",44
"2026-08-12","v0.2.5","TrueforceForAll-Setup.exe",100
"2026-08-12","v0.2.4","TrueforceForAll-Setup.exe",134
"2026-08-12","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-12","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-12","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",4
"2026-08-12","v0.1.27","TrueforceForAll-Setup.exe",393
"2026-08-12","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-12","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",28
"2026-08-12","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-12","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-12","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-12","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-12","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-12","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-12","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-12","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-12","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-12","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-12","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-12","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-12","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-12","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-12","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-12","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-12","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-12","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-12","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-12","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-12","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-12","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-12","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-12","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-12","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-13","v0.2.6","TrueforceForAll-Setup.exe",48
"2026-08-13","v0.1.28","TrueforceForAll-Setup.exe",57
"2026-08-13","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-13","v0.2.4","TrueforceForAll-Setup.exe",134
"2026-08-13","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-13","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-13","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-13","v0.1.27","TrueforceForAll-Setup.exe",393
"2026-08-13","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-13","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-13","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-13","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-13","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-13","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-13","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-13","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-13","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-13","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-13","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-13","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-13","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-13","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-13","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-13","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-13","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-13","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-13","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-13","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-13","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-13","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-13","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-13","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-13","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-13","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-13","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-14","v0.2.6","TrueforceForAll-Setup.exe",56
"2026-08-14","v0.1.28","TrueforceForAll-Setup.exe",71
"2026-08-14","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-14","v0.2.4","TrueforceForAll-Setup.exe",134
"2026-08-14","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-14","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-14","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-14","v0.1.27","TrueforceForAll-Setup.exe",394
"2026-08-14","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-14","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-14","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-14","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-14","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-14","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-14","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-14","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-14","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-14","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-14","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-14","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-14","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-14","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-14","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-14","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-14","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-14","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-14","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-14","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-14","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-14","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-14","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-14","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-14","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-14","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-14","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-15","v0.2.6","TrueforceForAll-Setup.exe",61
"2026-08-15","v0.1.28","TrueforceForAll-Setup.exe",93
"2026-08-15","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-15","v0.2.4","TrueforceForAll-Setup.exe",134
"2026-08-15","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-15","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-15","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-15","v0.1.27","TrueforceForAll-Setup.exe",394
"2026-08-15","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-15","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-15","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-15","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-15","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-15","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-15","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-15","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-15","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-15","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-15","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-15","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-15","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-15","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-15","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-15","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-15","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-15","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-15","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-15","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-15","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-15","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-15","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-15","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-15","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-15","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-15","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-16","v0.2.6","TrueforceForAll-Setup.exe",70
"2026-08-16","v0.1.28","TrueforceForAll-Setup.exe",104
"2026-08-16","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-16","v0.2.4","TrueforceForAll-Setup.exe",136
"2026-08-16","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-16","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-16","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-16","v0.1.27","TrueforceForAll-Setup.exe",394
"2026-08-16","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-16","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-16","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",280
"2026-08-16","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-16","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-16","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-16","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-16","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-16","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-16","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-16","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-16","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-16","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-16","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-16","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-16","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-16","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-16","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-16","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-16","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-16","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-16","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-16","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-16","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-16","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-16","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-16","v0.1.0","TrueforceForAll-Setup.exe",4
"2026-08-17","v0.2.6","TrueforceForAll-Setup.exe",79
"2026-08-17","v0.1.28","TrueforceForAll-Setup.exe",113
"2026-08-17","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-17","v0.2.4","TrueforceForAll-Setup.exe",136
"2026-08-17","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-17","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-17","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-17","v0.1.27","TrueforceForAll-Setup.exe",394
"2026-08-17","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-17","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-17","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",281
"2026-08-17","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-17","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-17","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-17","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-17","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-17","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-17","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-17","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-17","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-17","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-17","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-17","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-17","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-17","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-17","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-17","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-17","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
"2026-08-17","v0.1.7","TrueforceForAll-Setup-0.1.7.exe",2
"2026-08-17","v0.1.6","TrueforceForAll-Setup-0.1.6.exe",2
"2026-08-17","v0.1.5","TrueforceForAll-Setup-0.1.5.exe",4
"2026-08-17","v0.1.3","TrueforceForAll-Setup-0.1.3.exe",4
"2026-08-17","v0.1.2","TrueforceForAll-Setup-0.1.2.exe",2
"2026-08-17","v0.1.1","TrueforceForAll-Setup-0.1.1.exe",1
"2026-08-17","v0.1.0","TrueforceForAll-Setup.exe",5
"2026-08-18","v0.2.6","TrueforceForAll-Setup.exe",84
"2026-08-18","v0.1.28","TrueforceForAll-Setup.exe",125
"2026-08-18","v0.2.5","TrueforceForAll-Setup.exe",101
"2026-08-18","v0.2.4","TrueforceForAll-Setup.exe",136
"2026-08-18","v0.2.3","TrueforceForAll-Setup.exe",54
"2026-08-18","v0.2.2","TrueforceForAll-Setup.exe",4
"2026-08-18","v0.2.1","TrueforceForAll-Setup-0.2.1.exe",5
"2026-08-18","v0.1.27","TrueforceForAll-Setup.exe",394
"2026-08-18","v0.1.26","TrueforceForAll-Setup-0.1.26.exe",33
"2026-08-18","v0.2.0","TrueforceForAll-Setup-0.2.0.exe",29
"2026-08-18","v0.1.25","TrueforceForAll-Setup-0.1.25.exe",281
"2026-08-18","v0.1.24","TrueforceForAll-Setup-0.1.24.exe",257
"2026-08-18","v0.1.23","TrueforceForAll-Setup-0.1.23.exe",780
"2026-08-18","v0.1.22","TrueforceForAll-Setup-0.1.22.exe",219
"2026-08-18","v0.1.21","TrueforceForAll-Setup-0.1.21.exe",23
"2026-08-18","v0.1.20","TrueforceForAll-Setup-0.1.20.exe",105
"2026-08-18","v0.1.19","TrueforceForAll-Setup-0.1.19.exe",274
"2026-08-18","v0.1.18","TrueforceForAll-Setup-0.1.18.exe",290
"2026-08-18","v0.1.17","TrueforceForAll-Setup-0.1.17.exe",4
"2026-08-18","v0.1.16","TrueforceForAll-Setup-0.1.16.exe",12
"2026-08-18","v0.1.15","TrueforceForAll-Setup-0.1.15.exe",9
"2026-08-18","v0.1.14","TrueforceForAll-Setup-0.1.14.exe",35
"2026-08-18","v0.1.13","TrueforceForAll-Setup-0.1.13.exe",10
"2026-08-18","v0.1.12","TrueforceForAll-Setup-0.1.12.exe",8
"2026-08-18","v0.1.11","TrueforceForAll-Setup-0.1.11.exe",12
"2026-08-18","v0.1.10","TrueforceForAll-Setup-0.1.10.exe",8
"2026-08-18","v0.1.9","TrueforceForAll-Setup-0.1.9.exe",7
"2026-08-18","v0.1.8","TrueforceForAll-Setup-0.1.8.exe",3
